ab_time,gps_speed,acceleration,vehicle_speed,throttle_percentage,brake_percentage,steering_angle,gear_location,drive_mode,speed_KF,acc_KF,accModfiy
20210929:14:41:33.399,0.0756,-0.0381,0.0,0.1,0.0,-0.02,1,自动驾驶,0.012670437440505665,-0.18625819035251,-0.37338000000000005
20210929:14:41:33.449,0.0756,-0.0381,0.0,0.1,0.0,-0.02,1,自动驾驶,0.014985315907069701,-0.18436560420008924,-0.37338000000000005
20210929:14:41:33.502,0.07200000000000001,-0.0534,0.0,0.1,0.0,-0.02,1,自动驾驶,0.012918699682464776,-0.19204541430531216,-0.5233200000000001
20210929:14:41:33.552,0.1404,-0.0315,0.0,0.1,0.0,-0.02,1,自动驾驶,0.041456362680462634,-0.17747145355669158,-0.30870000000000003
20210929:14:41:33.600,0.1404,-0.0315,0.0,0.1,0.0,-0.02,1,自动驾驶,0.0599413784373506,-0.1678326868926121,-0.30870000000000003
20210929:14:41:33.650,0.1116,-0.0628,0.0,0.1,0.0,-0.02,1,自动驾驶,0.055929502241125084,-0.18286920345066932,-0.61544
20210929:14:41:33.703,0.21600000000000003,-0.0265,0.0,0.1,0.0,-0.02,1,自动驾驶,0.09907457919970192,-0.16193455725458153,-0.2597
20210929:14:41:33.750,0.1908,-0.0514,0.0,0.1,0.0,-0.02,1,自动驾驶,0.11327185179102495,-0.16574646830003276,-0.5037200000000001
20210929:14:41:33.799,0.198,-0.0318,0.0,0.1,0.0,-0.02,1,自动驾驶,0.12712331690045744,-0.15909852570963398,-0.31164000000000003
20210929:14:41:33.849,0.126,-0.0528,0.0,0.1,0.0,-0.02,1,自动驾驶,0.10425003306792736,-0.17613382567043998,-0.51744
20210929:14:41:33.901,0.198,-0.031,0.0,0.1,0.0,-0.02,1,自动驾驶,0.1208543635521961,-0.16700409542489705,-0.3038
20210929:14:41:33.951,0.1404,-0.0441,0.0,0.1,0.0,-0.02,1,自动驾驶,0.10675606927899196,-0.17576693469450205,-0.43218
20210929:14:41:34.000,0.1296,-0.0257,0.0,0.1,0.0,-0.02,1,自动驾驶,0.09579535496939819,-0.1729921792626941,-0.25186000000000003
20210929:14:41:34.051,0.0792,-0.0517,0.0,0.1,0.0,-0.02,1,自动驾驶,0.065594202348051,-0.19031018638152408,-0.5066600000000001
20210929:14:41:34.100,0.126,-0.0393,0.0,0.1,0.0,-0.02,1,自动驾驶,0.06634926818216667,-0.18909784017674852,-0.38514000000000004
